OBJECTID,PROJECT_NAME,STATION_NAME,ACTIVITY_NO,ACTIVITY_END_DATE,ECOREGION_NAME,HUC_CD,WATERBODY_NAME,LATITUDE_MEASURE,LONGITUDE_MEASURE,UTM_EAST,UTM_NORTH,STATION_DESC,STATION_ALT_NAME,FIX_STA_NAME,STATION_TYPE_NAME,COUNTY_NAME,HUC_LEVEL,HUC_NAME,ECOREGION_CD,SUBSTANCE_NAME,ANALYTICAL_METHOD_NAME,CAS_QUALIFIER_NAME,LAB_RESULT,LAB_RESULT_TEXT,LAB_REPORT_LIMIT,REPORT_UNIT,LAB_DILUTION_MULTIPLIER,QA_FLAGS
11,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
12,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.800000000000000,.8,0.300000000000000,mg/L,1.000000000000000,
13,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,5.500000000000000,5.5,0.100000000000000,mg/L,1.000000000000000,
14,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,0.160000000000000,.16,0.030000000000000,mg/L,1.000000000000000,
15,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,421.000000000000000,421,10.000000000000000,mg/L,1.000000000000000,
16,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,8.000000000000000,8,4.000000000000000,mg/L,1.000000000000000,
17,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,384.000000000000000,384,10.000000000000000,mg/L,1.000000000000000,
18,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
19,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.400000000000000,.4,0.300000000000000,mg/L,1.000000000000000,
20,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,3.600000000000000,3.6,0.100000000000000,mg/L,1.000000000000000,
21,2011 Fixed Station Monitoring,GMW070-0006,AB02868,3/22/2011 11:10:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,0.050000000000000,.05,0.030000000000000,mg/L,1.000000000000000,
22,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,28.000000000000000,28,4.000000000000000,mg/L,1.000000000000000,
23,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,340.000000000000000,340,10.000000000000000,mg/L,1.000000000000000,
24,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
25,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.500000000000000,.5,0.300000000000000,mg/L,1.000000000000000,
26,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,3.700000000000000,3.7,0.100000000000000,mg/L,1.000000000000000,
27,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,0.080000000000000,.08,0.030000000000000,mg/L,1.000000000000000,
28,2011 Fixed Station Monitoring,GMW070-0006,AB03077,4/12/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,390.000000000000000,390,10.000000000000000,mg/L,1.000000000000000,
29,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,399.000000000000000,399,10.000000000000000,mg/L,1.000000000000000,
30,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,4.000000000000000,4,4.000000000000000,mg/L,1.000000000000000,
31,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,375.000000000000000,375,10.000000000000000,mg/L,1.000000000000000,
32,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
33,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.300000000000000,.3,0.300000000000000,mg/L,1.000000000000000,
34,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,3.000000000000000,3,0.100000000000000,mg/L,1.000000000000000,
35,2011 Fixed Station Monitoring,GMW070-0006,AB03445,5/17/2011 11:35:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,-1.000000000000000,<.03,0.030000000000000,mg/L,1.000000000000000,
36,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,462.000000000000000,462,10.000000000000000,mg/L,1.000000000000000,
37,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,14.000000000000000,14,4.000000000000000,mg/L,1.000000000000000,
38,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,410.000000000000000,410,10.000000000000000,mg/L,1.000000000000000,
39,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
40,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.400000000000000,.4,0.300000000000000,mg/L,1.000000000000000,
41,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,2.400000000000000,2.4,0.100000000000000,mg/L,1.000000000000000,
42,2011 Fixed Station Monitoring,GMW070-0006,AB04028,6/14/2011 11:20:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,0.040000000000000,.04,0.030000000000000,mg/L,1.000000000000000,
43,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,506.000000000000000,506,10.000000000000000,mg/L,1.000000000000000,
44,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,6.000000000000000,6,4.000000000000000,mg/L,1.000000000000000,
45,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,462.000000000000000,462,10.000000000000000,mg/L,1.000000000000000,
46,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
47,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.400000000000000,.4,0.300000000000000,mg/L,1.000000000000000,
48,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,1.400000000000000,1.4,0.100000000000000,mg/L,1.000000000000000,
49,2011 Fixed Station Monitoring,GMW070-0006,AB04258,7/12/2011 10:55:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,0.050000000000000,.05,0.030000000000000,mg/L,1.000000000000000,
50,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,475.000000000000000,475,10.000000000000000,mg/L,1.000000000000000,
51,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,4.000000000000000,4,4.000000000000000,mg/L,1.000000000000000,
52,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,443.000000000000000,443,10.000000000000000,mg/L,1.000000000000000,
53,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,
54,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.400000000000000,.4,0.300000000000000,mg/L,1.000000000000000,
55,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,1.100000000000000,1.1,0.100000000000000,mg/L,1.000000000000000,
56,2011 Fixed Station Monitoring,GMW070-0006,AB04746,8/16/2011 11:05:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,-1.000000000000000,<.03,0.030000000000000,mg/L,1.000000000000000,
